Date,Session,Total_Signals,BUY_Signals,SELL_Signals,Total_Deals,Win,Loss,WinRate_%,PnL,End_Balance
2026-05-04,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,NY,181,181,0,145,90,55,62.1,42.8000,10042.80
2026-05-04,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,NY,6,6,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-05,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-05,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-05,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-05,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-05,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-05,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-06,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-05,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-06,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-05,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-06,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-05,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-06,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-05,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-06,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-06,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-07,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-06,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-07,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-06,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-06,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-07,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-06,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-07,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-07,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-07,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,NY,198,198,0,168,135,33,80.4,136.5000,10136.50
2026-05-01,NY,6,6,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,NY,198,198,0,168,135,33,80.4,136.5000,10136.50
2026-05-01,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,NY,6,6,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,NY,198,198,0,168,135,33,80.4,136.5000,10136.50
2026-05-01,NY,6,6,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-05,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-05,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-05,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-05,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-05,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-06,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-06,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-06,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-06,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-06,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,NY,198,198,0,168,135,33,80.4,136.5000,10136.50
2026-05-01,NY,6,6,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,NY,198,198,0,168,135,33,80.4,136.5000,10136.50
2026-05-01,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-07,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,NY,6,6,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-07,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-07,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-07,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-05,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-07,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-05,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-05,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-08,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-05,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-05,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-08,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-06,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-08,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-06,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-06,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-08,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-06,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-08,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-06,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-11,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-07,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-07,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-11,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-07,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-11,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-07,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-11,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-07,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-08,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-11,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-08,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-12,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-08,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-08,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-12,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-08,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-12,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-11,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-11,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-12,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-11,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-12,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-11,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-13,NY,58,58,0,15,9,6,60.0,5.2000,10005.20
2026-05-11,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-12,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-13,NY,7,7,0,3,3,0,100.0,4.2000,10004.20
2026-05-12,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-13,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-12,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-12,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-13,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-12,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-13,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-13,NY,58,58,0,15,9,6,60.0,5.2000,10005.20
2026-05-13,NY,7,7,0,3,3,0,100.0,4.2000,10004.20
2026-05-14,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-13,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-13,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-14,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-13,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-14,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-14,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-14,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-14,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-14,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-14,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-14,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-14,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-15,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-15,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-15,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-15,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-15,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-15,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-15,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-15,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-15,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-18,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-18,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-15,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-18,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-18,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-18,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-18,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-18,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-18,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-18,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-18,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-05,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-05,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-05,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-05,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-05,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-06,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-06,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-06,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-06,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-06,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-07,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-07,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-07,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-07,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-07,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-08,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-08,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-08,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-08,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-08,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-11,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-11,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-11,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-11,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-11,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-12,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-12,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-12,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-12,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-12,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-13,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-13,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-13,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-13,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-13,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-14,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-14,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-14,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-14,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-14,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-15,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-15,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-15,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-15,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-15,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-18,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-18,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-18,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-18,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-18,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-05,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,ASIAN,419,419,0,322,188,134,58.4,92.6000,10092.60
2026-05-01,ASIAN,97,97,0,82,64,18,78.0,91.2000,10091.20
2026-05-01,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,ASIAN,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,LONDON,360,360,0,314,170,144,54.1,51.2000,10051.20
2026-05-01,LONDON,360,360,0,314,170,144,54.1,51.2000,10051.20
2026-05-01,LONDON,360,360,0,314,170,144,54.1,51.2000,10051.20
2026-05-01,LONDON,344,344,0,314,170,144,54.1,51.2000,10051.20
2026-05-01,LONDON,252,252,0,248,125,123,50.4,-5.8000,9994.20
2026-05-01,LONDON,360,360,0,314,170,144,54.1,51.2000,10051.20
2026-05-01,LONDON,360,360,0,314,170,144,54.1,51.2000,10051.20
2026-05-01,LONDON,360,360,0,314,170,144,54.1,51.2000,10051.20
2026-05-01,LONDON,360,360,0,314,170,144,54.1,51.2000,10051.20
2026-05-01,LONDON,360,360,0,314,170,144,54.1,51.2000,10051.20
2026-05-01,LONDON,344,344,0,314,170,144,54.1,51.2000,10051.20
2026-05-01,LONDON,252,252,0,248,125,123,50.4,-5.8000,9994.20
2026-05-04,LONDON,345,345,0,299,89,210,29.8,-364.2000,9635.80
2026-05-04,LONDON,330,330,0,284,77,207,27.1,-378.9000,9621.10
2026-05-04,LONDON,242,242,0,242,62,180,25.6,-356.0000,9644.00
2026-05-04,LONDON,194,194,0,194,32,162,16.5,-378.4000,9621.60
2026-05-04,LONDON,182,182,0,182,29,153,15.9,-374.9000,9625.10
2026-05-05,LONDON,360,360,0,314,204,110,65.0,128.3000,10128.30
2026-05-05,LONDON,360,360,0,314,204,110,65.0,128.3000,10128.30
2026-05-05,LONDON,332,332,0,314,204,110,65.0,128.3000,10128.30
2026-05-05,LONDON,271,271,0,271,174,97,64.2,102.8000,10102.80
2026-05-05,LONDON,192,192,0,192,119,73,62.0,80.1000,10080.10
2026-05-06,LONDON,360,360,0,314,208,106,66.2,353.2000,10353.20
2026-05-06,LONDON,354,354,0,311,208,103,66.9,354.6000,10354.60
2026-05-06,LONDON,300,300,0,300,204,96,68.0,356.5000,10356.50
2026-05-06,LONDON,189,189,0,189,137,52,72.5,296.8000,10296.80
2026-05-06,LONDON,72,72,0,72,72,0,100.0,259.9000,10259.90
2026-05-07,LONDON,360,360,0,314,163,151,51.9,120.5000,10120.50
2026-05-07,LONDON,346,346,0,314,163,151,51.9,120.5000,10120.50
2026-05-07,LONDON,258,258,0,258,111,147,43.0,45.6000,10045.60
2026-05-07,LONDON,240,240,0,240,95,145,39.6,18.9000,10018.90
2026-05-07,LONDON,204,204,0,204,62,142,30.4,-69.9000,9930.10
2026-05-08,LONDON,360,360,0,314,218,96,69.4,160.9000,10160.90
2026-05-08,LONDON,345,345,0,314,218,96,69.4,160.9000,10160.90
2026-05-08,LONDON,323,323,0,314,218,96,69.4,160.9000,10160.90
2026-05-08,LONDON,291,291,0,291,195,96,67.0,125.3000,10125.30
2026-05-08,LONDON,195,195,0,195,131,64,67.2,78.2000,10078.20
2026-05-11,LONDON,360,360,0,314,136,178,43.3,-72.7000,9927.30
2026-05-11,LONDON,336,336,0,314,136,178,43.3,-72.7000,9927.30
2026-05-11,LONDON,261,261,0,261,117,144,44.8,-50.5000,9949.50
2026-05-11,LONDON,201,201,0,201,93,108,46.3,-46.2000,9953.80
2026-05-11,LONDON,137,137,0,137,57,80,41.6,-28.6000,9971.40
2026-05-12,LONDON,356,356,0,314,102,212,32.5,-238.8000,9761.20
2026-05-12,LONDON,330,330,0,314,102,212,32.5,-238.8000,9761.20
2026-05-12,LONDON,242,242,0,242,72,170,29.8,-218.9000,9781.10
2026-05-12,LONDON,139,139,0,139,46,93,33.1,-99.2000,9900.80
2026-05-12,LONDON,113,113,0,113,33,80,29.2,-89.2000,9910.80
2026-05-13,LONDON,332,332,0,314,150,164,47.8,-226.3000,9773.70
2026-05-13,LONDON,301,301,0,293,150,143,51.2,-168.1000,9831.90
2026-05-13,LONDON,244,244,0,244,150,94,61.5,10.3000,10010.30
2026-05-13,LONDON,212,212,0,212,150,62,70.8,83.1000,10083.10
2026-05-13,LONDON,163,163,0,163,146,17,89.6,205.1000,10205.10
2026-05-14,LONDON,4,4,0,0,0,0,0.0,0.0000,10000.00
2026-05-14,LONDON,4,4,0,0,0,0,0.0,0.0000,10000.00
2026-05-14,LONDON,4,4,0,0,0,0,0.0,0.0000,10000.00
2026-05-14,LONDON,4,4,0,0,0,0,0.0,0.0000,10000.00
2026-05-14,LONDON,4,4,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,NY,198,198,0,168,135,33,80.4,136.5000,10136.50
2026-05-01,NY,6,6,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-01,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-04,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-05,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-05,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-05,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-05,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-05,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-06,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-06,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-06,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-06,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
2026-05-06,NY,0,0,0,0,0,0,0.0,0.0000,10000.00
